target_index,pkb_id,length,original_target,recolored_target,g_big_dotbracket,g_small_dotbracket,target_pair_count,g_big_pair_count,g_small_pair_count
1,PKB00001,47,..............((((((.....[[[))))))....]]]......,..............((((((.....[[[))))))....]]]......,..............((((((........)))))).............,.........................[[[..........]]]......,9,6,3
2,PKB00002,50,.............(((((..[[[[)))))......]]]]...........,.............(((((..[[[[)))))......]]]]...........,.............(((((......))))).....................,....................[[[[...........]]]]...........,9,5,4
3,PKB00003,54,................((((((...[[[[))))))............]]]]...,................((((((...[[[[))))))............]]]]...,................((((((.......))))))...................,.........................[[[[..................]]]]...,10,6,4
4,PKB00004,50,...............(((((..[[[[[[)))))...........]]]]]],...............[[[[[..((((((]]]]]...........)))))),......................((((((................)))))),...............[[[[[........]]]]].................,11,6,5
5,PKB00005,41,...............(((....[[[[[)))...]]]]]...,...............[[[....(((((]]]...)))))...,......................(((((......)))))...,...............[[[.........]]]...........,8,5,3
6,PKB00006,42,...............(((...[[[[[[)))...]]]]]]...,...............[[[...((((((]]]...))))))...,.....................((((((......))))))...,...............[[[.........]]]............,9,6,3
7,PKB00007,42,................(((..[[[[[[)))...]]]]]]...,................[[[..((((((]]]...))))))...,.....................((((((......))))))...,................[[[........]]]............,9,6,3
8,PKB00008,40,..............(((..[[[[[[)))..]]]]]]....,..............[[[..((((((]]]..))))))....,...................((((((.....))))))....,..............[[[........]]]............,9,6,3
9,PKB00010,40,..............(((...[[[[[[)))..]]]]]]...,..............[[[...((((((]]]..))))))...,....................((((((.....))))))...,..............[[[.........]]]...........,9,6,3
10,PKB00012,40,..............(((...[[[[[)))...]]]]]....,..............[[[...(((((]]]...)))))....,....................(((((......)))))....,..............[[[........]]]............,8,5,3
11,PKB00015,41,..............(((..[[[[[[)))...]]]]]]....,..............[[[..((((((]]]...))))))....,...................((((((......))))))....,..............[[[........]]].............,9,6,3
12,PKB00017,42,...............(((....[[[[[)))...]]]]]....,...............[[[....(((((]]]...)))))....,......................(((((......)))))....,...............[[[.........]]]............,8,5,3
13,PKB00018,38,...............(((...[[[[)))..]]]]....,...............[[[...((((]]]..))))....,.....................((((.....))))....,...............[[[.......]]]..........,7,4,3
14,PKB00022,39,...............(((...[[[[)))...]]]]....,...............[[[...((((]]]...))))....,.....................((((......))))....,...............[[[.......]]]...........,7,4,3
15,PKB00025,37,...............(((..[[[[)))..]]]]....,...............[[[..((((]]]..))))....,....................((((.....))))....,...............[[[......]]]..........,7,4,3
16,PKB00030,41,...............(((...[[[[[)))...]]]]]....,...............[[[...(((((]]]...)))))....,.....................(((((......)))))....,...............[[[........]]]............,8,5,3
17,PKB00031,40,...............(((...[[[[[)))...]]]]]...,...............[[[...(((((]]]...)))))...,.....................(((((......)))))...,...............[[[........]]]...........,8,5,3
18,PKB00032,38,.............(((..[[[[[[)))..]]]]]]...,.............[[[..((((((]]]..))))))...,..................((((((.....))))))...,.............[[[........]]]...........,9,6,3
19,PKB00033,40,.............(((....[[[[[)))...]]]]]....,.............[[[....(((((]]]...)))))....,....................(((((......)))))....,.............[[[.........]]]............,8,5,3
20,PKB00042,39,.............((((..[[[.)))).........]]],.............((((..[[[.)))).........]]],.............((((......))))............,...................[[[..............]]],7,4,3
21,PKB00043,39,.............((((..[[[[))))........]]]],.............((((..[[[[))))........]]]],.............((((......))))............,...................[[[[............]]]],8,4,4
22,PKB00044,39,............(((((..[[[.)))))........]]],............(((((..[[[.)))))........]]],............(((((......)))))...........,...................[[[..............]]],8,5,3
23,PKB00045,41,.............((((((..[[[[))))))......]]]],.............((((((..[[[[))))))......]]]],.............((((((......))))))..........,.....................[[[[............]]]],10,6,4
24,PKB00046,39,............(((((..[[[[))))).......]]]],............(((((..[[[[))))).......]]]],............(((((......)))))...........,...................[[[[............]]]],9,5,4
25,PKB00047,61,...........((((((((.[[[[[[[)))).))))..................]]]]]]],...........((((((((.[[[[[[[)))).))))..................]]]]]]],...........((((((((........)))).)))).........................,....................[[[[[[[...........................]]]]]]],15,8,7
26,PKB00048,61,...........((((((.(..[[[[[[[).))))))..................]]]]]]],...........((((((.(..[[[[[[[).))))))..................]]]]]]],...........((((((.(.........).)))))).........................,.....................[[[[[[[..........................]]]]]]],14,7,7
27,PKB00049,30,(((((.[[[[[[..))))).....]]]]]],[[[[[.((((((..]]]]].....)))))),......((((((............)))))),[[[[[.........]]]]]...........,11,6,5
28,PKB00050,59,(((((((((((..(((...[[[[[)))..))))....)))))))..........]]]]],(((((((((((..(((...[[[[[)))..))))....)))))))..........]]]]],(((((((((((..(((........)))..))))....)))))))...............,...................[[[[[..............................]]]]],19,14,5
29,PKB00051,46,((((...(((((.[[[[[)))))...))))...........]]]]],((((...(((((.[[[[[)))))...))))...........]]]]],((((...(((((......)))))...))))................,.............[[[[[.......................]]]]],14,9,5
30,PKB00052,52,((((((((((.(((.[[[.[[[))).)))))))))).........]]].]]],((((((((((.(((.[[[.[[[))).)))))))))).........]]].]]],((((((((((.(((........))).))))))))))................,...............[[[.[[[.......................]]].]]],19,13,6
31,PKB00053,22,..(((.[[[[))).....]]]],..[[[.((((]]].....)))),......((((........)))),..[[[.....]]].........,7,4,3
32,PKB00054,22,(((.[[[[[[)))...]]]]]],[[[.((((((]]]...)))))),....((((((......)))))),[[[.......]]].........,9,6,3
33,PKB00055,30,((((.....[[[[[))))......].]]]],[[[[.....(((((]]]]......).)))),.........(((((..........).)))),[[[[..........]]]]............,9,5,4
34,PKB00056,24,((((((.[[[[))))))...]]]],((((((.[[[[))))))...]]]],((((((.....)))))).......,.......[[[[.........]]]],10,6,4
35,PKB00057,67,(((((((....[[[[((((.....((((((((.....))))))))))))))))))).......]]]],(((((((....[[[[((((.....((((((((.....))))))))))))))))))).......]]]],(((((((........((((.....((((((((.....)))))))))))))))))))...........,...........[[[[................................................]]]],23,19,4
36,PKB00065,46,((((((((...[[[[[[[......))).......]]]]]]]))))),((((([[[...(((((((......]]].......)))))))))))),(((((......(((((((................)))))))))))),.....[[[................]]]...................,15,12,3
37,PKB00066,40,.......(((..[[[[[....))).......]]]]]....,.......[[[..(((((....]]].......)))))....,............(((((..............)))))....,.......[[[...........]]]................,8,5,3
